,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
平成24年,,2012C.Y.,,"47,640","-80,829","-42,719","619,568","662,287","-38,110","139,914","-11,445",-804,"41,925","93,591","24,435","5,903","-51,490","-30,515","-4,911"
平成25年,,2013C.Y.,,"44,566","-122,521","-87,734","678,290","766,024","-34,786","176,978","-9,892","-7,436","-4,087","142,459","-265,652","55,516","25,085","38,504","-41,217"
平成26年,,2014C.Y.,,"39,215","-134,988","-104,653","740,747","845,400","-30,335","194,148","-19,945","-2,089","62,782","125,877","-48,330","37,644","-61,306","8,898","25,656"
平成27年,,2015C.Y.,,"165,194","-28,169","-8,862","752,742","761,604","-19,307","213,032","-19,669","-2,714","218,764","161,319","160,294","21,439","-130,539","6,251","56,283"
平成28年,,2016C.Y.,,"213,910","43,888","55,176","690,927","635,751","-11,288","191,478","-21,456","-7,433","286,059","148,587","296,496","-16,582","-136,662","-5,780","79,583"
平成29年,,2017C.Y.,,"227,779","42,206","49,113","772,535","723,422","-6,907","206,843","-21,271","-2,800","188,113","174,118","-56,513","34,523","9,467","26,518","-36,866"
平成30年,,2018C.Y.,,"195,047","1,052","11,265","812,263","800,998","-10,213","214,026","-20,031","-2,105","201,361","149,093","100,528","1,239","-76,127","26,628","8,419"
令和元(平成31)年,,2019C.Y.,,"192,513","-9,318","1,503","757,753","756,250","-10,821","215,531","-13,700","-4,131","248,624","238,591","93,666","3,700","-115,372","28,039","60,242"
令和2年,,2020C.Y.,,"159,917","-8,773","27,779","672,629","644,851","-36,552","194,387","-25,697","-2,072","141,251","93,898","43,916","7,999","-16,541","11,980","-16,594"
令和3年,,2021C.Y.,,"214,667","-24,834","17,623","823,526","805,903","-42,457","263,092","-23,591","-4,232","167,680","191,731","-219,175","21,685","104,539","68,899","-42,755"
令和4年,,2022C.Y.,,"114,425","-210,665","-155,107","988,582","1,143,688","-55,558","350,417","-25,326","-1,144","64,192","168,168","-191,993","50,850","107,739","-70,571","-49,089"
令和5年,,2023C.Y.,,"222,242","-99,521","-66,116","1,004,914","1,071,030","-33,406","363,149","-41,385","-3,905","242,806","247,126","274,642","64,969","-386,375","42,444","24,470"
令和6年,,2024C.Y.,,"293,719","-64,367","-36,602","1,050,974","1,087,576","-27,765","404,052","-45,965","-2,206","257,065","289,144","137,898","46,813","-114,038","-102,752","-34,449"
,,,,,,,,,,,,,,,,,,,
（半期）,,,,,,,,,,,,,,,,,,,
(Half-yearly figures),,,,,,,,,,,,,,,,,,,
平成8年,上半期,1996C.Y.,1st half-year,"38,721","11,214","42,687","207,003","164,317","-31,472","32,727","-5,220","-2,322","28,485","16,980","-12,487","1,816","-8,573","30,749","-7,914"
,下半期,,2nd half-year,"36,222","11,960","47,659","223,150","175,491","-35,699","28,817","-4,555","-1,216","44,237","11,668","49,569","6,195","-31,869","8,674","9,231"
平成9年,上半期,1997C.Y.,1st half-year,"50,412","19,085","51,591","237,794","186,203","-32,505","37,589","-6,262","-3,070","66,011","13,337","35,254","2,895","5,509","9,016","18,668"
,下半期,,2nd half-year,"65,288","38,595","72,119","251,007","178,888","-33,524","31,144","-4,451","-1,809","86,456","12,573","-76,656","4,271","147,624","-1,355","22,977"
